Marketplace;Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SSDSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
SberMegaMarket;HP;"для бизнеса; для работы и учебы";59990;0;0;Без ОС;4;Intel;Core i7;1165G7;nan;Intel;Iris Xe Graphics;nan;nan;512;8;DDR4;1;пластик;08.май;nan
SberMegaMarket;Acer;для бизнеса;58546;0;0;Без ОС;2;Intel;Core i3;1115G4;3;Intel;UHD Graphics;14;nan;256;8;DDR4;1;металл;13;nan
SberMegaMarket;Lenovo;универсальный;54902;0;0;Без ОС;6;AMD;Ryzen 5;5500U;nan;AMD;Radeon Graphics;nan;nan;512;8;DDR4;1;nan;5;nan
SberMegaMarket;Lenovo;универсальный;107787;0;0;Без ОС;4;Intel;Core i7;1165G7;nan;Intel;GeForce MX450;14;nan;512;16;DDR4;1;nan;5;nan
SberMegaMarket;ASUS;"для бизнеса; для работы и учебы; игровой";61811;0;0;Без ОС;4;Intel;Core i5;1135G7;nan;Intel;UHD Graphics;nan;60;1024;16;DDR4;1;пластик;6;nan
SberMegaMarket;ASUS;"для бизнеса; для работы и учебы; игровой";68859;0;0;Windows;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;60;512;8;DDR4;1;nan;9;nan
SberMegaMarket;Lenovo;универсальный;37286;0;0;Без ОС;2;Intel;Pentium;7505;2;Intel;UHD Graphics;nan;nan;256;8;DDR4;1;nan;5;nan
SberMegaMarket;Lenovo;универсальный;75868;0;0;Без ОС;6;AMD;Ryzen 5;5600H;nan;Intel;Radeon Graphics;16;nan;512;16;DDR4;1;nan;5;2
SberMegaMarket;HIPER;для работы и учебы;38229;0;0;Без ОС;4;Intel;Core i5;10210U;nan;Intel;UHD Graphics;nan;nan;256;8;DDR4;0;nan;8;nan
SberMegaMarket;HIPER;для работы и учебы;31916;0;0;Без ОС;2;Intel;Core i3;10110U;nan;Intel;UHD Graphics;nan;nan;256;8;DDR4;0;nan;8;nan
SberMegaMarket;HP;"для бизнеса; для работы и учебы";62830;0;0;DOS;10;Intel;Core i7;1255U;nan;NVIDIA;GeForce MX450;nan;nan;512;8;DDR4;1;nan;7;nan
SberMegaMarket;HP;"для бизнеса; для работы и учебы; игровой";62830;0;0;DOS;10;Intel;Core i7;1255U;nan;NVIDIA;GeForce MX550;nan;nan;512;8;DDR4;1;nan;6;nan
