Brand,PriceNow,PriceOriginal,Guarantee,Country,Series,OS,windows,CoresNumber,ProcessorModel,Processor,ProcessorType,ProcessorFrequency,GpuManufacturer,GpuController,GpuCapacity,ScreenSize,Diagonal,ScreenFrequency,SsdSize,RAM,RAM_type,HDMI,Material,Battery,Weight
HUAWEI,nan,68 999 ₽,1 год,Китай,Matebook 14,Windows 11,установлена,6,nan,,nan,nan,AMD,Radeon Vega,nan,"14""(35.5 см)","14""/2160x1440 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.49 кг

Honor,54 999 ₽,59 899,1 год,Китай,MagicBook X 14,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 13 часов,nan

Honor,79 999 ₽,89 999,1 год,Китай,MagicBook 16,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"16.1""(40.9 см)","16.1""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав,до 8 часов,1.84 кг

Apple,154 999 ₽,199 999,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,512 ГБ,16 ГБ,nan,nan,алюминий,до 17 часов,1.64 кг

Apple,nan,104 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 20 часов,1.4 кг

Honor,54 999 ₽,59 999,1 год,Китай,MagicBook X15,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 7 часов,1.56 кг

Apple,109 999 ₽,139 999,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 18 часов,1.24 кг

HUAWEI,94 999 ₽,106 999,1 год,Китай,Matebook 14S,Windows 11 Домашняя,установлена,14,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(35.5 см)","14""/2520x1680 пикс.",nan,1 ТБ,16 ГБ,LPDDR4X,1 шт,металл,до 9 часов,1.43 кг

Irbis,19 999 ₽,25 999,1 год,Китай,nan,Windows 10,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,4 ГБ,SDRAM,1 шт,пластик,до 4 ч 30 мин,1.57 кг

HUAWEI,70 999 ₽,77 999,1 год,Китай,Matebook 14,Windows 11,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(35.5 см)","14""/2160x1440 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.49 кг

Honor,71 999 ₽,79 999,1 год,Китай,MagicBook 15,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав,до 11 ч 30 мин,1.54 кг

Apple,109 999 ₽,139 999,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,nan,1.24 кг

Acer,33 999 ₽,37 999,1 год,Китай,Spin 1,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 9 часов,1.5 кг

GIGABYTE,89 999 ₽,109 999,1 год,Китай,KD-52EE123SD,не установлена,не установлена,6,11400H,Intel Core i5 11400H 2.7 ГГц,Core i5,2.7 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 5 часов,2.18 кг

