Brand,Series,PriceNow,PriceOriginal,Guarantee_year,OS,CoresNumber,Processor,ProcessorType,ProcessorModel,ProcessorFrequency_GHz,GpuManufacturer,GpuController,ScreenSize_inch,ScreenFrequency_GHz,SSDSize_GGb,RAM_GGb,RAM_type,HDMI,Material,Battery_hour,Weight_kg
Acer,Aspire 5,45990.0,45990,1,Windows 10 Домашняя 64,4.0,,,,,Intel,Intel UHD Graphics 620,15.6,,,6.0,DDR4,1.0,пластик,8,1.8
Lenovo,IdeaPad Flex 5 14ITL05,45999.0,45999,1,Windows 10,2.0,,,,,Intel,Intel UHD Graphics,14,,256.0,8.0,DDR4,1.0,пластик,5,1.5
ASUS,,49999.0,54999,1,Windows 11 Домашняя,4.0,,,,,Intel,Intel UHD Graphics,14,,512.0,8.0,DDR4,1.0,пластик,5,1.6
Lenovo,IdeaPad 3 15ITL05,49999.0,54999,1,Windows 11 Домашняя 64,4.0,,,,,Intel,Intel Iris Xe Graphics,15.6,,512.0,8.0,DDR4,1.0,пластик,5,1.7
Acer,Aspire 3,24999.0,29999,1,Windows 10 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics 600,15.6,,128.0,4.0,DDR4 SO-DIMM,1.0,пластик,6,1.9
MSI,Modern 15 A10M,49999.0,56999,1,Windows 10 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics 620,15.6,60,256.0,8.0,DDR4,1.0,пластик/ металл,9,1.6
Digma,EVE,15999.0,17999,1,Windows 10 Домашняя,2.0,,,,,Intel,Intel HD Graphics 500,14,60,,4.0,DDR3,1.0,пластик,6,1.3
Irbis,NB,15999.0,18999,1,Windows 10 Домашняя,2.0,,,,,Intel,Intel HD Graphics 500,14,60,,4.0,LPDDR4,1.0,пластик,5,1.273
Acer,Spin 1,43999.0,49999,1,Windows 11 Домашняя 64,4.0,,,,,Intel,UHD Graphics,14,,256.0,8.0,DDR4,1.0,пластик,7,1.5
Lenovo,IdeaPad Gaming 3 15IHU6,71999.0,79999,1,не установлена,4.0,Intel,Core i5,11300H,3.1,NVIDIA,GeForce RTX 3050 4GB,15.6,60,256.0,8.0,DDR4,1.0,пластик,8,2.25
