PriceNow,PriceOriginal,Guarantee,Country,Series,OS,windows,CoresNumber,ProcessorModel,Processor,ProcessorType,ProcessorFrequency,GpuManufacturer,GpuController,GpuCapacity,ScreenSize,Diagonal,ScreenFrequency,SsdSize,RAM,RAM_type,HDMI,Material,Battery,Weight
nan,81 899 ₽,1 год,Китай,MacBook Air,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 18 часов,1.29 кг
99 999 ₽,119 999,1 год,Китай,MateBook 14S,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14.2""(36.1 см)","14,2""/2520x1680 пикс.",nan,512 ГБ,16 ГБ,LPDDR4X,1 шт,металл,до 7 часов,1.43 кг
nan,22 999 ₽,1 год,Китай,EVE,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics 405,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR4,nan,пластик,до 7 часов,1.54 кг
79 999 ₽,86 999,1 год,Китай,GAMING,не установлена,не установлена,6,11400H,Intel Core i5 11400H 2.7 ГГц,Core i5,2.7 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,16 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,2.15 кг
24 999 ₽,29 999,1 год,Китай,Aspire 3,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,128 ГБ,4 ГБ,DDR4 SO-DIMM,1 шт,пластик,до 6 часов,1.9 кг
49 999 ₽,56 999,1 год,Китай,Modern 15 A10M,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 620,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 9 часов,1.6 кг
nan,39 999 ₽,1 год,Китай,Zenbook 15,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.8 кг
nan,19 999 ₽,1 год,Китай,NB,Windows 10 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR3,1 шт,пластик,до 5 часов,1.57 кг
41 999 ₽,48 999,1 год,Китай,VivoBook 15,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.8 кг
54 999 ₽,59 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 13 часов,1.8 кг
37 999 ₽,44 999,1 год,Китай,nan,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.5 кг
nan,134 999 ₽,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,512 ГБ,8 ГБ,nan,nan,алюминий,nan,1.24 кг
43 999 ₽,49 999,1 год,Китай,Spin 1,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 7 часов,1.5 кг
nan,24 999 ₽,1 год,Китай,250 G8,не установлена,не установлена,2,nan,,nan,nan,Intel,UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,до 6 ч 30 мин,1.78 кг
34 999 ₽,39 999,1 год,Китай,R522MA,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.57 кг
119 999 ₽,131 999,1 год,Китай,Matebook X Pro,Windows 11,установлена,12,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14.2""(36.1 см)","14.2""/3120x2080 пикс.",90 Гц,1 ТБ,16 ГБ,LPDDR5,nan,магниевый сплав,до 8 часов,1.26 кг
44 999 ₽,54 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,AMD,Radeon,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 9 ч 30 мин,1.69 кг
49 999 ₽,54 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.6 кг
nan,104 999 ₽,1 год,Китай,Legion 5 15ITH6H,не установлена,не установлена,8,11800H,Intel Core i7 11800H 2.3 ГГц,Core i7,2.3 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",165 Гц,1 ТБ,16 ГБ,DDR4,1 шт,пластик,до 8 часов,2.4 кг
nan,49 299 ₽,1 год,Китай,MagicBook X14,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 7 часов,1.38 кг
37 999 ₽,44 999,1 год,Китай,nan,Windows 10 Домашняя,установлена,2,nan,,nan,nan,NVIDIA,GeForce MX130 2ГБ,2 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.8 кг
37 999 ₽,44 999,1 год,Китай,Aspire 3,не установлена,не установлена,4,nan,,nan,nan,AMD,Radeon Vega 8,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4 SO-DIMM,1 шт,пластик,до 7 часов,1.9 кг
74 999 ₽,84 999,1 год,Китай,IdeaPad Gaming 3 15ACH6,не установлена,nan,6,Ryzen 5 5600H,AMD Ryzen 5 Ryzen 5 5600H 3.2 ГГц,Ryzen 5,3.2 ГГц,NVIDIA,GeForce RTX 3050,4 ГБ,nan,,60 Гц,512 ГБ,8 ГБ,DDR4 SO-DIMM,1 шт,пластик,nan,2.25 кг
15 999 ₽,18 999,1 год,Китай,NB,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"14""(35.5 см)","14""/1366x768 пикс.",60 Гц,nan,4 ГБ,LPDDR4,1 шт,пластик,до 5 часов,1.273 кг
17 999 ₽,24 999,1 год,Китай,IdeaPad 3 14IGL05,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 14 часов,1.5 кг
71 999 ₽,79 999,1 год,Китай,IdeaPad Gaming 3 15IHU6,не установлена,не установлена,4,11300H,Intel Core i5 11300H 3.1 ГГц,Core i5,3.1 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 8 часов,2.25 кг
84 999 ₽,99 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,6,nan,,nan,nan,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,алюминий/ пластик,до 5 часов,1.65 кг
49 999 ₽,54 999,1 год,Китай,IdeaPad 3 15ITL05,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.7 кг
35 999 ₽,41 999,1 год,Китай,Laptop 14,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 6 часов,1.55 кг
nan,74 899 ₽,1 год,Китай,Matebook D 15,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.56 кг
99 999 ₽,119 999,1 год,Китай,nan,Windows 11,установлена,4,nan,,nan,nan,Intel,Intel Iris Graphics,nan,"14.2""(36.1 см)","14,2""/2520x1680 пикс.",nan,1 ТБ,16 ГБ,LPDDR4X,1 шт,металл,nan,1.43 кг
54 999 ₽,59 999,1 год,Китай,Vivobook S14,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,NVIDIA,GeForce MX350 2ГБ,nan,"14""(37 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,nan,1.4 кг
49 999 ₽,57 999,1 год,Китай,R565,не установлена,не установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 6 часов,1.8 кг
34 999 ₽,44 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.65 кг
nan,69 999 ₽,1 год,Китай,MagicBook 15,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 11 ч 30 мин,1.54 кг
17 999 ₽,19 999,1 год,Китай,NB,Windows 10,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"14.1""(35.8 см)","14.1""/1920x1080 пикс.",nan,nan,4 ГБ,LPDDR3,1 шт,пластик,до 3 часов,1.28 кг
nan,89 999 ₽,1 год,Китай,IdeaPad Gaming 3 15ACH6,не установлена,nan,6,Ryzen 5 5600H,AMD Ryzen 5 Ryzen 5 5600H 3.2 ГГц,Ryzen 5,3.2 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,nan,,120 Гц,512 ГБ,16 ГБ,DDR4 SO-DIMM,1 шт,пластик,nan,2.25 кг
99 999 ₽,114 999,1 год,Китай,Matebook X Pro,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"13.9""(35.3 см)","13.9""/3000х2000 пикс.",nan,1 ТБ,16 ГБ,LPDDR4X,nan,металл,до 7 часов,1.33 кг
nan,17 899 ₽,1 год,Китай,nan,Windows 10 Pro,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14.1""(35.8 см)","14.1""/1920x1080 пикс.",nan,nan,4 ГБ,LPDDR4,1 шт,пластик,до 5 часов,1.28 кг
99 999 ₽,109 999,1 год,Китай,Matebook X Pro,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"13.9""(35.3 см)","13.9""/3000х2000 пикс.",nan,512 ГБ,16 ГБ,LPDDR4X,nan,металл,до 7 часов,1.33 кг
15 999 ₽,17 999,1 год,Китай,EVE,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR3,1 шт,пластик,до 6 часов,1.3 кг
nan,129 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,512 ГБ,8 ГБ,nan,nan,алюминий,до 20 часов,1.4 кг
nan,229 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,10,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,512 ГБ,16 ГБ,nan,nan,алюминий,до 21 часа,2.15 кг
nan,43 199 ₽,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,128 ГБ,4 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,1.5 кг
nan,19 999 ₽,1 год,Китай,IdeaPad 1 14IGL05,Windows 11 Домашняя S-режим,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 8 часов,1.4 кг
69 999 ₽,89 999,1 год,Китай,Pavilion Aero,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon,nan,"13.3""(33.8 см)","13.3""/2560x1600 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,магниевый сплав,до 10 часов,1 кг
48 999 ₽,54 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 7 часов,1.69 кг
nan,74 999 ₽,1 год,Китай,MateBook 14,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/2160x1440 пикс.",nan,512 ГБ,16 ГБ,DDR4,nan,металл,до 7 часов,1.49 кг
nan,22 999 ₽,1 год,Китай,Aspire 3,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,DDR4 SO-DIMM,1 шт,пластик,до 9 часов,1.7 кг
25 999 ₽,28 999,1 год,Китай,SF114-34,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 615,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик/ металл,до 15 часов,1.3 кг
24 999 ₽,29 999,1 год,Тайвань,Laptop,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.57 кг
43 999 ₽,49 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,AMD,Radeon,nan,"17.3""(43.9 см)","17.3""/1600x900 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 ч 45 мин,2.07 кг
139 999 ₽,149 999,1 год,Китай,Nitro,Windows 11 Домашняя 64,установлена,8,11800H,Intel Core i7 11800H 2.3 ГГц,Core i7,2.3 ГГц,NVIDIA,GeForce RTX 3070 8GB,8 ГБ,"17.3""(43.9 см)","17.3""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 8 часов,2.7 кг
54 999 ₽,62 999,1 год,Китай,Swift 3,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,LPDDR4X,1 шт,металл,до 9 часов,1.2 кг
74 999 ₽,79 999,1 год,Китай,HP Pavilion,Windows 11 Домашняя 64,установлена,8,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,1 ТБ,16 ГБ,DDR4,1 шт,пластик/ металл,до 8 ч 45 мин,1.75 кг
59 999 ₽,64 999,1 год,Китай,Swift 3,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Vega 5,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,1 ТБ,8 ГБ,LPDDR4X,1 шт,металл,до 13 часов,1.2 кг
139 999 ₽,169 999,1 год,Китай,ROG Strix G15 Advantage Edition,Windows 10 Домашняя 64,установлена,8,5900HX,AMD Ryzen 9 5900HX 3.3 ГГц,Ryzen 9,3.3 ГГц,AMD,Radeon RX 6800M 12GB,12 ГБ,"15.6""(39.6 см)","15.6""/2560x1440 пикс.",165 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 6 часов,2.5 кг
59 999 ₽,69 999,1 год,Китай,ThinkBook 15 G2,Windows 10 Pro 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 6 часов,1.7 кг
47 999 ₽,54 999,1 год,Китай,Laptop 15s,не установлена,не установлена,8,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 9 ч 30 минут,1.69 кг
nan,137 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,512 ГБ,8 ГБ,nan,nan,алюминий,до 20 часов,1.4 кг
29 999 ₽,37 999,1 год,Китай,Spin 1,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 7 часов,1.5 кг
234 999 ₽,249 999,1 год,Китай,MacBook Pro,macOS,nan,10,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,1 ТБ,16 ГБ,nan,nan,алюминий,до 17 часов,1.64 кг
nan,24 999 ₽,1 год,Китай,Aspire 1,Windows 10,установлена,2,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 6 часов,1.9 кг
34 999 ₽,39 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.65 кг
34 999 ₽,39 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,AMD,Radeon,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.69 кг
15 999 ₽,17 999,1 год,Китай,NB,Windows 10 Pro,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics,nan,"11.6""(29.4 см)","11.6""/1366x768 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,до 8 часов,0.99 кг
nan,24 899 ₽,1 год,Китай,nan,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.3 кг
29 999 ₽,31 999,1 год,Китай,V15 G2 ITL,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.7 кг
74 999 ₽,84 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,алюминий/ пластик,до 5 часов,1.8 кг
69 999 ₽,84 999,1 год,Китай,Vivobook Pro 14 OLED,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(35.5 см)","14""/2880x1800 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,алюминий/ пластик,до 7 часов,1.4 кг
84 999 ₽,99 999,1 год,Китай,IdeaPad Gaming 3 15IHU6,не установлена,nan,4,Intel Core i5-11300H,Intel Core i5 Intel Core i5-11300H 3.1 ГГц,Core i5,3.1 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,nan,,120 Гц,512 ГБ,16 ГБ,DDR4 SO-DIMM,1 шт,пластик,nan,2.25 кг
28 800 ₽,31 999,1 год,Китай,R565MA,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.8 кг
55 999 ₽,69 999,1 год,Китай,nan,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 7 часов,1.69 кг
59 999 ₽,64 999,1 год,Китай,MagicBook 14,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 11 часов,1.38 кг
